record_id,entity_id,contributor_id,rating,created_at,attack_type,ground_truth_risk,P,B,C,X,T,data_trust_score,evidence_coverage,uncertainty,confidence,tier,recommended_action,risk_probability_model,model_flag
injected_7e3f0dfe12799e8998e3,entity_bfdc77f6ac6c51e1e4bb,,5.0,2026-05-22 07:21:06+00:00,provenance_missing,1,26.66666666666666,73.63957602853695,,82.70833333333334,45.33842335647681,63.41412818809051,0.6233333333333333,34.10074622787432,Medium,C_Watch,downweight_and_monitor,1.0,True
injected_60a74fd030a853ceb25a,entity_4ece12940a354eaf00b5,,4.5,2026-06-29 09:32:12+00:00,provenance_missing,1,26.66666666666666,73.63957602853695,,86.875,1.2352341371979492e-08,46.90139155274647,0.6233333333333333,38.51815977046368,Medium,D_Review_Required,human_review,1.0,True
injected_186305afa07df394bc53,entity_a2452344a6b18b50463b,,3.5,2026-03-27 15:37:59+00:00,provenance_missing,1,26.66666666666666,98.63957602853695,,83.54166666666667,76.22379792592902,79.74516076942162,0.6233333333333333,35.71602750455729,Medium,B_Standard,normal_use_with_monitoring,1.0,True
injected_7a407d17d170d8fadd37,entity_72f454ead2a8d3e432f5,,3.0,2026-03-08 02:37:23+00:00,provenance_missing,1,26.66666666666666,98.63957602853695,,76.83333333333333,88.03203938801826,81.7905784681205,0.6233333333333333,35.922795393973615,Medium,B_Standard,normal_use_with_monitoring,1.0,True
injected_945218f48012aa6ad9af,entity_6f0fbfd865ea5150ef73,,5.0,2026-06-07 07:22:26+00:00,provenance_missing,1,26.66666666666666,73.63957602853695,,85.0,78.07982395632462,77.46482361583696,0.6233333333333333,34.327135530905025,Medium,B_Standard,normal_use_with_monitoring,1.0,True
injected_ef652fbf54d51b8d3a71,entity_c8179b4da4ad78cd26c3,,5.0,2026-05-26 08:34:03+00:00,provenance_missing,1,26.66666666666666,73.63957602853695,,85.625,76.02985119683163,76.89331047700287,0.6233333333333333,34.285328463665365,Medium,B_Standard,normal_use_with_monitoring,1.0,True
injected_3490ae4d235ab04c9fb2,entity_06e7df81ac3cf211adb7,,5.0,2026-05-10 23:26:34+00:00,provenance_missing,1,26.66666666666666,73.63957602853695,,83.75000000000001,66.56808245367574,72.3464780933842,0.6233333333333333,33.86893088738769,Medium,B_Standard,normal_use_with_monitoring,1.0,True
injected_1d6cbe1ff5425a5c776b,entity_1655438eecd6d85d1f74,,4.5,2026-05-24 23:54:33+00:00,provenance_missing,1,26.66666666666666,73.63957602853695,,81.66666666666667,77.3857817419894,75.84956604324263,0.6233333333333333,34.064398669523534,Medium,B_Standard,normal_use_with_monitoring,1.0,True
injected_98cb7848f98304d6010d,entity_d7de99d2b4d45c631823,,4.5,2026-05-06 18:55:35+00:00,provenance_missing,1,26.66666666666666,73.63957602853695,,92.08333333333334,45.92263277829548,67.40846351769693,0.6233333333333333,35.06830363549716,Medium,C_Watch,downweight_and_monitor,1.0,True
injected_126d1bdbf4bbb7968582,entity_624cdb5b34fe987f9fdd,,3.5,2026-04-03 01:52:50+00:00,provenance_missing,1,26.66666666666666,98.63957602853695,,84.16666666666666,87.23196270608112,84.41086856894786,0.6233333333333333,36.05048030848984,Medium,B_Standard,normal_use_with_monitoring,1.0,True
injected_2c6959beebbfe4b10341,entity_1655438eecd6d85d1f74,,3.5,2026-02-19 02:39:14+00:00,provenance_missing,1,26.66666666666666,98.63957602853695,,87.66666666666667,63.09068653038287,76.1322818674646,0.6233333333333333,35.93846743341866,Medium,B_Standard,normal_use_with_monitoring,1.0,True
injected_c882036c2ce7282f2e5b,entity_d969a65388999b80a178,,3.5,2026-02-21 22:26:28+00:00,provenance_missing,1,26.66666666666666,98.63957602853695,,85.29166666666667,78.06548992115262,81.18567894932413,0.6233333333333333,35.81885160169706,Medium,B_Standard,normal_use_with_monitoring,1.0,True
injected_82db6c090042ad46b807,entity_0f385012bec0e48a8856,,3.5,2026-06-10 22:13:37+00:00,provenance_missing,1,26.66666666666666,98.63957602853695,,85.83333333333334,87.54018634795655,85.20293687451287,0.6233333333333333,36.11723940957831,Medium,B_Standard,normal_use_with_monitoring,1.0,True
injected_7a8a77280c7fd9c7ae9c,entity_9b0904086eecd619e1de,,2.5,2026-06-20 06:38:11+00:00,provenance_missing,1,26.66666666666666,98.63957602853695,,73.33333333333334,98.90985192790538,84.74959419267417,0.6233333333333333,36.56651686715059,Medium,B_Standard,normal_use_with_monitoring,1.0,True
injected_2a0f98dbd9761b6a9421,entity_a2452344a6b18b50463b,,3.5,2026-04-06 10:04:31+00:00,provenance_missing,1,26.66666666666666,98.63957602853695,,83.54166666666667,66.73600697618672,75.93989701952498,0.6233333333333333,35.673370751436025,Medium,B_Standard,normal_use_with_monitoring,1.0,True
injected_cf0c298fb47781f34eca,entity_67ec81c7be73f2ce81b8,,4.0,2026-03-16 22:50:34+00:00,provenance_missing,1,26.66666666666666,98.63957602853695,,90.12499999999999,44.37481984893827,69.61188079201891,0.6233333333333333,36.84195157661597,Medium,C_Watch,downweight_and_monitor,1.0,True
injected_7bb23cb3cc2d3302fc86,entity_d84956ddfd0b07399680,,3.0,2026-04-13 07:39:14+00:00,provenance_missing,1,26.66666666666666,98.63957602853695,,80.33333333333333,88.96683507827072,83.56923984121642,0.6233333333333333,36.02769905277472,Medium,B_Standard,normal_use_with_monitoring,1.0,True
injected_093ba5417cc5bae07fc7,entity_f62bc45bca976833474a,,4.0,2026-03-31 00:06:20+00:00,provenance_missing,1,26.66666666666666,98.63957602853695,,93.33333333333333,66.91004223332513,79.93683629377834,0.6233333333333333,36.232206404466076,Medium,B_Standard,normal_use_with_monitoring,1.0,True
injected_3bff4158bee6c3250ee6,entity_b32bfa4a8ac1898296ed,,5.0,2026-06-10 22:37:47+00:00,provenance_missing,1,26.66666666666666,73.63957602853695,,86.04166666666666,76.82590063367083,77.37969394097581,0.6233333333333333,34.34947089732509,Medium,B_Standard,normal_use_with_monitoring,1.0,True
injected_afa3dde661b038d12a09,entity_5ad349035b10e44fee32,,3.5,2026-06-28 12:22:56+00:00,provenance_missing,1,26.66666666666666,98.63957602853695,,86.25,21.428571446133727,58.85469560372831,0.6233333333333333,38.32740536371751,Medium,C_Watch,downweight_and_monitor,1.0,True
injected_972dc9bfbf0184d5ef01,entity_0f385012bec0e48a8856,,5.0,2026-02-15 20:32:43+00:00,provenance_missing,1,26.66666666666666,73.63957602853695,,79.16666666666666,99.34525053230955,83.65416582545659,0.6233333333333333,35.59029926697899,Medium,B_Standard,normal_use_with_monitoring,1.0,True
injected_a89e214da80369bc08dd,entity_cc932d2a0ed89633c63b,,3.5,2026-03-14 10:40:22+00:00,provenance_missing,1,26.66666666666666,98.63957602853695,,82.16666666666667,87.7637575659042,83.8220162399999,0.6233333333333333,36.015826654059055,Medium,B_Standard,normal_use_with_monitoring,1.0,True
injected_e20305ebaa0e38be5e21,entity_e1b1994651af03e0fa65,,3.5,2026-05-19 18:27:04+00:00,provenance_missing,1,26.66666666666666,98.63957602853695,,81.08333333333333,99.69906693736522,88.1744130467356,0.6233333333333333,36.66140846719196,Medium,B_Standard,normal_use_with_monitoring,1.0,True
injected_863127c8cf16c182b052,entity_0f385012bec0e48a8856,,5.0,2026-06-21 15:21:03+00:00,provenance_missing,1,26.66666666666666,73.63957602853695,,79.16666666666666,99.24497292487816,83.61394753370602,0.6233333333333333,35.5806390252245,Medium,B_Standard,normal_use_with_monitoring,1.0,True
injected_6e4a555daba0cb1196f4,entity_18518a3e48470656fd7d,,5.0,2026-01-28 09:21:24+00:00,provenance_missing,1,26.66666666666666,73.63957602853695,,85.625,77.48128049933396,77.47543452880862,0.6233333333333333,34.346043292059264,Medium,B_Standard,normal_use_with_monitoring,1.0,True
injected_0e9871cea0809f519790,entity_656575535ab9679161ed,,3.5,2026-05-13 08:19:48+00:00,provenance_missing,1,26.66666666666666,98.63957602853695,,84.58333333333334,89.08529938524453,85.32129771834495,0.6233333333333333,36.1415025461567,Medium,B_Standard,normal_use_with_monitoring,1.0,True
injected_49e25b695057ecc4f7d9,entity_c6fb0843e8a65c0ee1f3,,3.0,2026-03-19 12:58:32+00:00,provenance_missing,1,26.66666666666666,98.63957602853695,,77.20833333333334,75.59902909039609,76.95447808137365,0.6233333333333333,35.49972092194159,Medium,B_Standard,normal_use_with_monitoring,1.0,True
injected_b1af15586e14607bc31b,entity_19bd4527da145f91d5ce,,4.5,2026-03-02 09:38:52+00:00,provenance_missing,1,26.66666666666666,73.63957602853695,,92.5,56.38783006773531,71.77284745731183,0.6233333333333333,34.75471919417809,Medium,B_Standard,normal_use_with_monitoring,1.0,True
injected_15c2833fa96a414b4990,entity_d7de99d2b4d45c631823,,3.5,2026-03-26 10:08:07+00:00,provenance_missing,1,26.66666666666666,98.63957602853695,,82.74999999999999,23.43558427630442,58.25590395807484,0.6233333333333333,37.9086115096133,Medium,C_Watch,downweight_and_monitor,1.0,True
injected_29e958ae92d912676874,entity_2b2af8fe8416b9371602,,3.5,2026-04-14 08:10:06+00:00,provenance_missing,1,26.66666666666666,98.63957602853695,,84.08333333333334,88.10006745627513,84.72561646341069,0.6233333333333333,36.08389452022422,Medium,B_Standard,normal_use_with_monitoring,1.0,True
injected_20f2537a20a31d5deefe,entity_59faa6b0172eba57776f,,5.0,2026-01-04 08:27:42+00:00,provenance_missing,1,26.66666666666666,73.63957602853695,,83.54166666666667,87.7637575659042,80.76386115978599,0.6233333333333333,34.80294738298466,Medium,B_Standard,normal_use_with_monitoring,1.0,True
injected_5803dc858be685bf8ef9,entity_5ad349035b10e44fee32,,5.0,2026-03-24 17:04:25+00:00,provenance_missing,1,26.66666666666666,73.63957602853695,,81.25,99.12988628595339,84.40335128814796,0.6233333333333333,35.639238111362836,Medium,B_Standard,normal_use_with_monitoring,1.0,True
injected_9cc2789f9ed6adabd385,entity_325c6e6aa5d357c6849a,,3.0,2026-05-31 23:28:35+00:00,provenance_missing,1,26.66666666666666,98.63957602853695,,73.75,45.79226251505419,63.612860470942394,0.6233333333333333,35.83636558034475,Medium,C_Watch,downweight_and_monitor,1.0,True
injected_5f796ce58620b4d5f0d5,entity_93d429fed3b37eec2f44,,4.5,2026-02-13 18:46:15+00:00,provenance_missing,1,26.66666666666666,73.63957602853695,,86.875,64.56353715531841,72.79585832131575,0.6233333333333333,34.123771174696095,Medium,B_Standard,normal_use_with_monitoring,1.0,True
injected_91080edf187de3962a2f,entity_126b7a26965d1f2b9bb8,,4.5,2026-05-19 06:28:31+00:00,provenance_missing,1,26.66666666666666,73.63957602853695,,94.16666666666667,46.12763836593664,68.32624650739258,0.6233333333333333,35.29448136463171,Medium,C_Watch,downweight_and_monitor,1.0,True
injected_5f6b2e83619757a13386,entity_19bd4527da145f91d5ce,,3.5,2026-03-22 13:55:48+00:00,provenance_missing,1,26.66666666666666,98.63957602853695,,80.83333333333334,88.57246990544573,83.6116067505112,0.6233333333333333,36.01994036290209,Medium,B_Standard,normal_use_with_monitoring,1.0,True
injected_674d6e417afbf49b2f45,entity_bab9a71d79e9bda9ddd7,,4.5,2026-06-03 01:01:17+00:00,provenance_missing,1,26.66666666666666,73.63957602853695,,93.95833333333334,35.13031376303003,63.831998672002236,0.6233333333333333,35.917637953953445,Medium,C_Watch,downweight_and_monitor,1.0,True
injected_4db52b3c24db0d006eb3,entity_93d429fed3b37eec2f44,,5.0,2026-05-20 18:30:30+00:00,provenance_missing,1,26.66666666666666,73.63957602853695,,78.54166666666667,66.2491647486205,70.129666179592,0.6233333333333333,33.45221442332015,Medium,B_Standard,normal_use_with_monitoring,1.0,True
injected_15546e9c4e2ac33e3437,entity_67ec81c7be73f2ce81b8,,4.0,2026-04-13 11:02:22+00:00,provenance_missing,1,26.66666666666666,98.63957602853695,,90.12499999999999,46.109692221127865,70.30768521936767,0.6233333333333333,36.74247687989906,Medium,B_Standard,normal_use_with_monitoring,1.0,True
injected_e81b72255b4686dc4938,entity_e1b1994651af03e0fa65,,4.0,2026-02-28 19:01:18+00:00,provenance_missing,1,26.66666666666666,98.63957602853695,,89.41666666666667,56.247776024089816,74.08967070183905,0.6233333333333333,36.23137888395969,Medium,B_Standard,normal_use_with_monitoring,1.0,True
injected_0a36717ea2410bcb56dd,entity_939487a272567e1d9b77,,3.5,2026-01-19 18:21:57+00:00,provenance_missing,1,26.66666666666666,98.63957602853695,,81.16666666666667,46.12763836593664,66.72196843252627,0.6233333333333333,36.17213150689739,Medium,C_Watch,downweight_and_monitor,1.0,True
injected_416c1dcb66125491892e,entity_b7af3c5c1b06b54df38f,,3.5,2026-06-06 08:52:50+00:00,provenance_missing,1,26.66666666666666,98.63957602853695,,90.91666666666667,75.59902909039609,82.45247273378006,0.6233333333333333,36.059838913479446,Medium,B_Standard,normal_use_with_monitoring,1.0,True
injected_5c0291605e704f353144,entity_4ece12940a354eaf00b5,,3.5,2026-03-26 21:42:32+00:00,provenance_missing,1,26.66666666666666,98.63957602853695,,85.70833333333333,77.007012847733,80.92826835838042,0.6233333333333333,35.81828015750499,Medium,B_Standard,normal_use_with_monitoring,1.0,True
injected_ccdfd4e9a9095c98143c,entity_a2452344a6b18b50463b,,3.5,2026-06-09 15:03:29+00:00,provenance_missing,1,26.66666666666666,98.63957602853695,,83.54166666666667,77.31775367373255,80.18391307469042,0.6233333333333333,35.73484498101175,Medium,B_Standard,normal_use_with_monitoring,1.0,True
injected_3e3da91235dc9a48c02d,entity_72f454ead2a8d3e432f5,,3.0,2026-06-09 21:37:24+00:00,provenance_missing,1,26.66666666666666,98.63957602853695,,76.83333333333333,55.889182245161116,68.89905822365908,0.6233333333333333,35.56959367269788,Medium,C_Watch,downweight_and_monitor,1.0,True
injected_f17916dbd0e0eb41cf2a,entity_4ece12940a354eaf00b5,,3.0,2026-02-05 20:22:45+00:00,provenance_missing,1,26.66666666666666,98.63957602853695,,77.375,77.8782253032746,77.93543912931958,0.6233333333333333,35.55532581916159,Medium,B_Standard,normal_use_with_monitoring,1.0,True
