date,avg_daily_rating,rating_count,review_ratio,estimated_ai_ratio,album_id,source,is_synthetic,provenance_status
2020-01-01,3.3375157794658463,15,0.4,0.0,1001,synthetic,True,illustrative_synthetic
2020-01-02,3.32932317361819,10,0.2817456165934505,0.0,1001,synthetic,True,illustrative_synthetic
2020-01-03,3.2938881949346204,7,0.2061887709461802,0.0,1001,synthetic,True,illustrative_synthetic
2020-01-04,3.251088429393852,13,0.391669986555487,0.0,1001,synthetic,True,illustrative_synthetic
2020-01-05,3.3126350985403428,15,0.3489366070925672,0.0,1001,synthetic,True,illustrative_synthetic
2020-01-06,3.305777308620505,13,0.2934636841103027,0.0,1001,synthetic,True,illustrative_synthetic
2020-01-07,3.3466033404488056,8,0.2271780435878239,0.0,1001,synthetic,True,illustrative_synthetic
2020-01-08,3.303210653598065,12,0.4,0.0,1001,synthetic,True,illustrative_synthetic
2020-01-09,3.28706352287174,7,0.2541058762382183,0.0,1001,synthetic,True,illustrative_synthetic
2020-01-10,3.311983712179815,8,0.4,0.0,1001,synthetic,True,illustrative_synthetic
2020-01-11,3.2575149595449906,8,0.4,0.0,1001,synthetic,True,illustrative_synthetic
2020-01-12,3.178432572104469,13,0.2400563055217092,0.0,1001,synthetic,True,illustrative_synthetic
2020-01-13,3.264011966752467,5,0.1856813651118664,0.0,1001,synthetic,True,illustrative_synthetic
2020-01-14,3.3122334342593835,8,0.1889777342270348,0.0,1001,synthetic,True,illustrative_synthetic
2020-01-15,3.273751632605037,7,0.1533465054153671,0.0,1001,synthetic,True,illustrative_synthetic
2020-01-16,3.2882445425795925,9,0.2836991251954401,0.0,1001,synthetic,True,illustrative_synthetic
2020-01-17,3.2870300369748757,6,0.3058757683535948,0.0,1001,synthetic,True,illustrative_synthetic
2020-01-18,3.3354366775827966,14,0.2195942673266189,0.0,1001,synthetic,True,illustrative_synthetic
2020-01-19,3.318579620807265,14,0.3741267880481972,0.0,1001,synthetic,True,illustrative_synthetic
2020-01-20,3.250685242271378,6,0.4,0.0,1001,synthetic,True,illustrative_synthetic
2020-01-21,3.283816950250318,8,0.1685874934542039,0.0,1001,synthetic,True,illustrative_synthetic
2020-01-22,3.302073626817586,4,0.283698736482229,0.0,1001,synthetic,True,illustrative_synthetic
2020-01-23,3.302264748216254,4,0.2935456120250231,0.0,1001,synthetic,True,illustrative_synthetic
2020-01-24,3.249599253169815,5,0.273523876402541,0.0,1001,synthetic,True,illustrative_synthetic
2020-01-25,3.360075983861739,15,0.2961422519533769,0.0,1001,synthetic,True,illustrative_synthetic
2020-01-26,3.2909581940630197,6,0.1448575511824713,0.0,1001,synthetic,True,illustrative_synthetic
2020-01-27,3.326380325744463,7,0.4,0.0,1001,synthetic,True,illustrative_synthetic
2020-01-28,3.2578778022534647,7,0.267888648014036,0.0,1001,synthetic,True,illustrative_synthetic
2020-01-29,3.356651540936082,4,0.3937137982681676,0.0,1001,synthetic,True,illustrative_synthetic
2020-01-30,3.2628849441183068,10,0.4,0.0,1001,synthetic,True,illustrative_synthetic
