album_id,rating,has_review,user_age_days,timestamp,is_verified_user,is_synthetic,collection_date,source,provenance_status
2024/example-album-1,8.2,False,939,2020-01-01 00:00:00.000000,True,True,2026-08-08T00:56:44.307745,synthetic,illustrative_synthetic
2024/example-album-1,5.5,False,744,2020-01-03 19:04:52.579505,False,True,2026-08-08T00:56:44.307745,synthetic,illustrative_synthetic
2024/example-album-1,8.5,False,665,2020-01-06 14:09:45.159010,True,True,2026-08-08T00:56:44.307745,synthetic,illustrative_synthetic
2024/example-album-1,8.7,False,252,2020-01-09 09:14:37.738515,True,True,2026-08-08T00:56:44.307745,synthetic,illustrative_synthetic
2024/example-album-1,10.0,False,1008,2020-01-12 04:19:30.318021,True,True,2026-08-08T00:56:44.307745,synthetic,illustrative_synthetic
2024/example-album-1,6.5,False,560,2020-01-14 23:24:22.897526,True,True,2026-08-08T00:56:44.307745,synthetic,illustrative_synthetic
2024/example-album-1,6.4,False,1175,2020-01-17 18:29:15.477031,True,True,2026-08-08T00:56:44.307745,synthetic,illustrative_synthetic
2024/example-album-1,8.6,True,907,2020-01-20 13:34:08.056537,False,True,2026-08-08T00:56:44.307745,synthetic,illustrative_synthetic
2024/example-album-1,8.7,True,29,2020-01-23 08:39:00.636042,True,True,2026-08-08T00:56:44.307745,synthetic,illustrative_synthetic
2024/example-album-1,6.2,False,471,2020-01-26 03:43:53.215547,False,True,2026-08-08T00:56:44.307745,synthetic,illustrative_synthetic
2024/example-album-1,6.5,False,360,2020-01-28 22:48:45.795053,False,True,2026-08-08T00:56:44.307745,synthetic,illustrative_synthetic
2024/example-album-1,8.2,False,257,2020-01-31 17:53:38.374558,False,True,2026-08-08T00:56:44.307745,synthetic,illustrative_synthetic
2024/example-album-1,5.7,False,678,2020-02-03 12:58:30.954063,False,True,2026-08-08T00:56:44.307745,synthetic,illustrative_synthetic
2024/example-album-1,6.5,False,227,2020-02-06 08:03:23.533568,False,True,2026-08-08T00:56:44.307745,synthetic,illustrative_synthetic
2024/example-album-1,7.4,False,133,2020-02-09 03:08:16.113074,True,True,2026-08-08T00:56:44.307745,synthetic,illustrative_synthetic
2024/example-album-1,9.0,False,135,2020-02-11 22:13:08.692579,True,True,2026-08-08T00:56:44.307745,synthetic,illustrative_synthetic
2024/example-album-1,6.1,False,156,2020-02-14 17:18:01.272084,True,True,2026-08-08T00:56:44.307745,synthetic,illustrative_synthetic
2024/example-album-1,3.9,False,651,2020-02-17 12:22:53.851590,False,True,2026-08-08T00:56:44.307745,synthetic,illustrative_synthetic
2024/example-album-1,3.8,True,2180,2020-02-20 07:27:46.431095,True,True,2026-08-08T00:56:44.307745,synthetic,illustrative_synthetic
2024/example-album-1,4.9,False,309,2020-02-23 02:32:39.010600,True,True,2026-08-08T00:56:44.307745,synthetic,illustrative_synthetic
2024/example-album-1,4.8,False,1355,2020-02-25 21:37:31.590106,False,True,2026-08-08T00:56:44.307745,synthetic,illustrative_synthetic
2024/example-album-1,6.9,False,155,2020-02-28 16:42:24.169611,True,True,2026-08-08T00:56:44.307745,synthetic,illustrative_synthetic
2024/example-album-1,5.1,False,326,2020-03-02 11:47:16.749116,False,True,2026-08-08T00:56:44.307745,synthetic,illustrative_synthetic
2024/example-album-1,5.9,False,1346,2020-03-05 06:52:09.328621,True,True,2026-08-08T00:56:44.307745,synthetic,illustrative_synthetic
2024/example-album-1,5.8,False,939,2020-03-08 01:57:01.908127,True,True,2026-08-08T00:56:44.307745,synthetic,illustrative_synthetic
2024/example-album-1,6.4,False,961,2020-03-10 21:01:54.487632,True,True,2026-08-08T00:56:44.307745,synthetic,illustrative_synthetic
2024/example-album-1,9.6,False,1169,2020-03-13 16:06:47.067137,True,True,2026-08-08T00:56:44.307745,synthetic,illustrative_synthetic
2024/example-album-1,8.4,False,2225,2020-03-16 11:11:39.646643,True,True,2026-08-08T00:56:44.307745,synthetic,illustrative_synthetic
2024/example-album-1,7.2,True,858,2020-03-19 06:16:32.226148,True,True,2026-08-08T00:56:44.307745,synthetic,illustrative_synthetic
2024/example-album-1,6.4,True,115,2020-03-22 01:21:24.805653,True,True,2026-08-08T00:56:44.307745,synthetic,illustrative_synthetic
2024/example-album-1,6.4,True,1226,2020-03-24 20:26:17.385159,False,True,2026-08-08T00:56:44.307745,synthetic,illustrative_synthetic
2024/example-album-1,7.8,True,1105,2020-03-27 15:31:09.964664,False,True,2026-08-08T00:56:44.307745,synthetic,illustrative_synthetic
2024/example-album-1,8.3,False,1284,2020-03-30 10:36:02.544169,True,True,2026-08-08T00:56:44.307745,synthetic,illustrative_synthetic
2024/example-album-1,5.6,False,278,2020-04-02 05:40:55.123674,True,True,2026-08-08T00:56:44.307745,synthetic,illustrative_synthetic
